2021-05-06 ; 21:46:06 ; b9iqr857eahv7ju0asbg8rbqsc ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g1 ; Comandos ; Questão:2 ; Login aceito
2021-05-06 ; 21:46:06 ; b9iqr857eahv7ju0asbg8rbqsc ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g1 ; Comandos ; Questão:2 ; Selecionou fase 1
2021-05-06 ; 21:46:07 ; b9iqr857eahv7ju0asbg8rbqsc ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-05-06 ; 21:46:07 ; b9iqr857eahv7ju0asbg8rbqsc ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 19:54:54 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou fase 1
2021-09-11 ; 19:54:54 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Login aceito
2021-09-11 ; 19:54:57 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 19:54:57 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 19:55:27 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2021-09-11 ; 19:55:30 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 3
2021-09-11 ; 19:55:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2021-09-11 ; 19:55:42 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Executou o código na tarefa 1
2021-09-11 ; 19:55:42 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Errou
2021-09-11 ; 19:55:53 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2021-09-11 ; 19:55:57 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 3
2021-09-11 ; 19:56:21 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Apertou o botão exemplo
2021-09-11 ; 19:56:22 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Entrou_pagina
2021-09-11 ; 19:56:34 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Acerto
2021-09-11 ; 19:56:34 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Apertou o botão rodar código
2021-09-11 ; 19:58:17 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 1
2021-09-11 ; 19:58:33 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 19:58:33 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 19:58:36 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2021-09-11 ; 19:58:37 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 3
2021-09-11 ; 19:58:38 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 4
2021-09-11 ; 19:59:04 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Apertou o botão exemplo
2021-09-11 ; 19:59:04 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Entrou_pagina
2021-09-11 ; 19:59:06 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Acerto
2021-09-11 ; 19:59:06 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; DUVIDA << Apertou o botão rodar código
2021-09-11 ; 19:59:29 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:2 ; Selecionou o botão 2
2021-09-11 ; 19:59:30 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:3 ; Selecionou o botão 3
2021-09-11 ; 19:59:31 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou o botão 4
2021-09-11 ; 19:59:33 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Selecionou o botão 5
2021-09-11 ; 20:00:56 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Selecionou a alternativa: 2
2021-09-11 ; 20:00:57 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Selecionou a alternativa: 3
2021-09-11 ; 20:00:58 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Selecionou a alternativa: 4
2021-09-11 ; 20:01:04 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1212 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Clicou em Sair
2021-09-11 ; 20:01:09 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Login aceito
2021-09-11 ; 20:01:09 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:5 ; Selecionou fase 1
2021-09-11 ; 20:01:09 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 20:01:09 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 20:02:30 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2021-09-11 ; 20:02:33 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Executou o código na tarefa 1
2021-09-11 ; 20:02:33 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Acertou
2021-09-11 ; 20:02:38 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:2 ; Gostei
2021-09-11 ; 20:02:44 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou o botão 4
2021-09-11 ; 20:03:10 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou a alternativa: 2
2021-09-11 ; 20:03:11 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou a alternativa: 3
2021-09-11 ; 20:03:12 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou a alternativa: 4
2021-09-11 ; 20:03:24 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:4 ; Selecionou a alternativa: 2
2021-09-11 ; 20:10:13 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2021-09-11 ; 20:10:14 ; 98t0old6sgqvpaq7vjus1mk5ia ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w1g1 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:13:08 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Login aceito
2023-06-30 ; 08:13:08 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Selecionou fase 1
2023-06-30 ; 08:13:09 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:13:09 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:13:32 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Selecionou a alternativa: 2
2023-06-30 ; 08:13:34 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Selecionou a alternativa: 1
2023-06-30 ; 08:14:03 ; jp3rgimgi6jclsmecjsc2n6b04 ; 1234 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Clicou em Sair
2023-06-30 ; 08:14:06 ; jp3rgimgi6jclsmecjsc2n6b04 ; 12345 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Login aceito
2023-06-30 ; 08:14:06 ; jp3rgimgi6jclsmecjsc2n6b04 ; 12345 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Selecionou fase 1
2023-06-30 ; 08:14:07 ; jp3rgimgi6jclsmecjsc2n6b04 ; 12345 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:14:07 ; jp3rgimgi6jclsmecjsc2n6b04 ; 12345 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:14:10 ; jp3rgimgi6jclsmecjsc2n6b04 ; 12345 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Clicou em Sair
2023-06-30 ; 08:14:13 ; jp3rgimgi6jclsmecjsc2n6b04 ; 123 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Login aceito
2023-06-30 ; 08:14:13 ; jp3rgimgi6jclsmecjsc2n6b04 ; 123 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Selecionou fase 1
2023-06-30 ; 08:14:13 ; jp3rgimgi6jclsmecjsc2n6b04 ; 123 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
2023-06-30 ; 08:14:13 ; jp3rgimgi6jclsmecjsc2n6b04 ; 123 ; Nunca programei ; .org:Não ; Nehuma das opções ; w0g0 ; Comandos ; Questão:1 ; Entrou_pagina do jogo
